1	511145	562	Escherichia coli K-12	K-12 substr. MG1655	Escherichia coli str. K-12 substr. MG1655 str. K12	SAMN02604091	E coli K 12	1e579f8d-3880-424e-9b4f-190eb69280d9	strain	0
2	10090	10090	mouse	CBA/J	Mus musculus	SAMN04489823	Mouse	26d004c3-4e02-4027-9a8c-4b2622eb898b	strain	0
3	8030	8030	Atlantic salmon	European origin	Salmo salar	SAMEA13013359	\N	2fe78695-dc61-4c83-b3b8-f61a761c5685	strain	0
4	9606	9606	human	Gambian in Western Division	Homo sapiens	SAMN17861670	Human	18bd7042-d861-4a10-b5d0-68c8bccfc87e	population	0
5	9606	9606	human	Esan in Nigeria	Homo sapiens	SAMN17861241	Human	a3352834-cea1-40aa-9dad-98581620c36b	population	0
6	9606	9606	human	Gambian in Western Division	Homo sapiens	SAMN17861664	Human	87fb40f8-563b-4095-9fce-2bafa77ffba1	population	0
7	9606	9606	human	African from Barbados	Homo sapiens	SAMN13958415	Human	7f1653e1-9be5-4313-9fe9-800ae18d87b4	population	0
8	10090	10090	mouse	NOD/ShiLtJ	Mus musculus	SAMN04489827	Mouse	c0cfff6b-c947-4fec-aa2d-b4b6c487b8d5	strain	0
9	9606	9606	human	European	Homo sapiens	SAMN03283347	Human	b0e689ba-889b-40af-8ab9-7675f9df79b6	population	0
10	4565	4565	bread wheat	Landmark	Triticum aestivum	SAMEA7089058	Wheat	6f56c6d1-d06e-44d3-b766-ab5f6509f255	cultivar	0
12	9606	9606	human	Peruvian in Lima	Homo sapiens	SAMN17861663	Human	1780aee6-af9f-4f65-a62a-b4837dbc9217	population	0
13	9606	9606	human	Mende in Sierra Leone	Homo sapiens	SAMN17861668	Human	14cca9ad-5ba1-42ab-91e3-61035223843d	population	0
14	36329	5833	malaria parasite	\N	Plasmodium falciparum 3D7	SAMN00102897	\N	c867d142-85c4-4a5d-8361-b3f7f5fa3544	\N	0
16	9606	9606	human	Peruvian in Lima	Homo sapiens	SAMN17861662	Human	72d7d221-6d5e-42d3-9930-828efa27b109	population	0
